,variable,r_left,r,pvalue
4,"meio_transporte ONIBUS,CARRO 2017","(0.7310549390751634, 7.562929177979944e-10)",0.7310549390751634,7.562929177979944e-10
11,fezes_urina SISTEMA DE ESGOTO 2017,"(0.907297829032767, 1.8987503005058394e-20)",0.907297829032767,1.8987503005058394e-20
13,destino_lixo COLETADO 2017,"(0.9113141645412445, 6.5854458236864866e-21)",0.9113141645412445,6.5854458236864866e-21
16,tipo_habitacao TIJOLO/ALVENARIA COM REVESTIMENTO 2017,"(0.9073159936732321, 1.8898846347359402e-20)",0.9073159936732321,1.8898846347359402e-20
18,abastecimento REDE PÚBLICA 2017,"(0.9113141645412445, 6.5854458236864866e-21)",0.9113141645412445,6.5854458236864866e-21
21,tratamento_domicilio SEM TRATAMENTO 2017,"(0.8902480567249287, 1.0516898352040226e-18)",0.8902480567249287,1.0516898352040226e-18
38,bairro BOQUEIRAO                                          2017,"(0.759948652743903, 6.437047478556094e-11)",0.759948652743903,6.437047478556094e-11
39,sexo M 2017,"(0.7661554567026526, 3.6238807998078943e-11)",0.7661554567026526,3.6238807998078943e-11
40,sexo F 2017,"(0.7567369255490217, 8.607559919641091e-11)",0.7567369255490217,8.607559919641091e-11
