,variable,r_left,r,pvalue
7,meio_transporte ONIBUS 2017,"(0.8903543909762264, 1.0278379701285762e-18)",0.8903543909762264,1.0278379701285762e-18
8,"meio_transporte ONIBUS,CARRO 2017","(0.8999663529633839, 1.1652487391119884e-19)",0.8999663529633839,1.1652487391119884e-19
13,grupo_comunitario NAO PARTICIPA 2017,"(0.9575714393052677, 1.1291643267067944e-28)",0.9575714393052677,1.1291643267067944e-28
17,fezes_urina SISTEMA DE ESGOTO 2017,"(0.9730884134132622, 1.5445803699694114e-33)",0.9730884134132622,1.5445803699694114e-33
19,destino_lixo COLETADO 2017,"(0.9790027143075297, 3.344853796435503e-36)",0.9790027143075297,3.344853796435503e-36
23,tipo_habitacao TIJOLO/ALVENARIA COM REVESTIMENTO 2017,"(0.9628312232930785, 4.3914637462895234e-30)",0.9628312232930785,4.3914637462895234e-30
24,tipo_habitacao MADEIRA APARELHADA 2017,"(0.7717205349966229, 2.132410021158407e-11)",0.7717205349966229,2.132410021158407e-11
26,abastecimento REDE PÚBLICA 2017,"(0.9784019049027758, 6.724247147112475e-36)",0.9784019049027758,6.724247147112475e-36
28,tratamento_domicilio FILTRACAO 2017,"(0.8091358678994236, 3.916040303105671e-13)",0.8091358678994236,3.916040303105671e-13
29,tratamento_domicilio CLORACAO 2017,"(0.7534789155414287, 1.1506092817894205e-10)",0.7534789155414287,1.1506092817894205e-10
30,tratamento_domicilio SEM TRATAMENTO 2017,"(0.9206614523850837, 4.550626241077322e-22)",0.9206614523850837,4.550626241077322e-22
71,bairro SAO LOURENCO                                       2017,"(0.7787119343295235, 1.0720849411333763e-11)",0.7787119343295235,1.0720849411333763e-11
108,bairro CIDADE INDUSTRIAL 2017,"(0.7350143031440717, 5.498913505681347e-10)",0.7350143031440717,5.498913505681347e-10
112,bairro UBERABA 2017,"(0.7898117937419653, 3.4138843196998762e-12)",0.7898117937419653,3.4138843196998762e-12
114,sexo M 2017,"(0.9601361029564794, 2.4484726722287392e-29)",0.9601361029564794,2.4484726722287392e-29
115,sexo F 2017,"(0.9207357035255844, 4.449298247439304e-22)",0.9207357035255844,4.449298247439304e-22
